table_name,original_var_name,cleaned_var_name,cdc_core_var_name
Lqas,Id,id,id
Lqas,ActivityCode,activity_code,activity_code
Lqas,Antigens,antigens,antigens
Lqas,RegionId,region_id,region_id
Lqas,WHORegion,who_region,who_region
Lqas,Admin0ID,admin0id,admin0id
Lqas,Admin1Id,admin1id,admin1id
Lqas,Admin2Id,admin2id,admin2id
Lqas,Year,year,year
Lqas,Month,month,month
Lqas,MonthForDisplay,month_for_display,month_for_display
Lqas,Phase,phase,phase
Lqas,Admin0Name,admin0name,admin0name
Lqas,Admin1Name,admin1name,admin1name
Lqas,Admin2Name,admin2name,admin2name
Lqas,Admin3Name,admin3name,admin3name
Lqas,Admin4Name,admin4name,admin4name
Lqas,Admin0GUID,admin0guid,admin0guid
Lqas,Admin1GUID,admin1guid,admin1guid
Lqas,Admin2GUID,admin2guid,admin2guid
Lqas,Status,status,status
Lqas,ChildrenChecked,children_checked,children_checked
Lqas,ChildrenFoundUnvaccinated,children_found_unvaccinated,children_found_unvaccinated
Lqas,LqasClassificationName,lqas_classification_name,lqas_classification_name
Lqas,Start,start,start
Lqas,End,end,end
Lqas,CountryISO3Code,country_iso3code,country_iso3code
Lqas,ISTName,ist_name,ist_name
Lqas,PassCount,pass_count,pass_count
Lqas,FailCount,fail_count,fail_count
Lqas,PassPercent,pass_percent,pass_percent
